"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Zach Charbonnet","SEA","RB45","130.5","533.0","5.6","19.8","147.0","0.5","0.7","123.1"
"Terrance Ferguson","LAR","TE27","0.0","0.0","0.0","39.0","533.4","5.1","0.2","122.8"
"Kayshon Boutte","HOU","WR69","0.0","0.0","0.0","39.9","555.9","4.4","0.2","121.7"
"Tank Dell","HOU","WR70","10.2","48.8","0.1","42.2","527.1","3.2","0.2","119.3"
"Alvin Kamara","NO","RB46","114.0","440.1","2.4","32.6","228.3","1.0","0.8","117.9"
"Evan Engram","DEN","TE28","0.0","0.0","0.0","53.4","475.9","2.7","0.1","117.1"
"Darren Waller","CAR","TE29","0.0","0.0","0.0","43.4","446.5","4.7","0.1","115.8"
"Adonai Mitchell","NYJ","WR71","2.1","5.1","0.1","39.9","550.5","3.3","0.7","114.2"
"Justice Hill","BAL","RB47","56.4","273.7","2.2","32.7","283.4","1.8","0.2","112.1"
"Travis Hunter","JAC","WR72","2.0","10.8","0.1","41.6","496.6","3.3","0.4","111.8"
"Malik Washington","MIA","WR73","13.5","80.8","0.7","45.4","411.9","2.4","0.8","111.6"
"Gunnar Helm","TEN","TE30","0.0","0.0","0.0","48.9","444.1","3.1","0.2","111.6"
"Germie Bernard","PIT","WR74","2.1","10.8","0.0","41.2","508.2","2.9","0.7","109.2"
"Dylan Sampson","CLE","RB48","74.2","257.2","1.4","36.3","285.1","2.1","1.2","108.7"
"Dontayvion Wicks","PHI","WR75","0.0","0.0","0.0","39.5","517.7","2.9","0.4","107.9"
"David Njoku","LAC","TE31","0.0","0.0","0.0","42.3","396.6","4.3","0.1","107.4"
"Jordyn Tyson","NO","WR76","1.0","3.5","0.0","37.8","529.1","2.9","0.7","106.8"
"Bub Means","NO","WR77","1.0","7.0","0.0","38.0","519.0","3.0","1.0","106.6"
"Mike Gesicki","CIN","TE32","0.0","0.0","0.0","41.4","434.3","3.6","0.1","106.1"
"Jaylin Noel","HOU","WR78","5.1","17.6","0.1","39.8","450.0","3.2","0.2","105.9"
"Caleb Douglas","MIA","WR79","1.0","5.5","0.0","39.5","508.8","2.6","0.7","104.8"
"Antonio Williams","WAS","WR80","3.5","18.7","0.1","35.5","496.7","3.1","1.2","104.1"
"Omar Cooper Jr.","NYJ","WR81","2.1","12.5","0.1","38.4","458.0","3.1","0.7","103.1"
"Mason Taylor","NYJ","TE33","0.0","0.0","0.0","46.1","405.9","2.5","0.1","101.3"
"Oronde Gadsden II","LAC","TE34","0.0","0.0","0.0","37.8","474.9","2.8","0.6","101.1"
"Mike Washington Jr.","LV","RB49","126.0","487.1","3.1","17.7","143.5","0.6","1.2","100.9"
"Troy Franklin","DEN","WR82","3.0","10.8","0.0","36.5","402.7","3.9","0.6","100.3"
"Darius Slayton","NYG","WR83","1.6","8.6","0.0","35.8","526.2","2.0","0.7","100.1"
"AJ Dillon","CAR","RB50","121.0","532.0","3.0","18.0","146.0","1.0","5.0","99.8"
"Chris Bell","MIA","WR84","1.0","5.5","0.0","37.2","469.5","2.7","0.6","99.4"
"Tyler Allgeier","ARI","RB51","111.7","425.3","4.7","17.1","110.9","0.2","0.6","98.5"
"Tory Horton","SEA","WR85","0.5","3.0","0.0","30.3","401.5","4.7","0.6","97.5"
"Braelon Allen","NYJ","RB52","111.8","449.0","4.5","13.9","100.6","0.7","1.7","96.5"
"Samaje Perine","CIN","RB53","98.5","441.8","3.7","17.9","135.7","0.4","1.9","96.1"
"Chris Rodriguez Jr.","JAC","RB54","135.5","560.8","5.1","5.4","42.8","0.1","0.6","95.6"
"Tyrone Tracy Jr.","NYG","RB55","86.5","366.1","1.8","23.6","181.0","1.1","0.6","95.0"
"Ty Johnson","BUF","RB56","51.9","222.2","2.1","22.8","244.0","2.1","0.2","94.3"
"Xavier Legette","CAR","WR86","2.1","10.8","0.1","35.9","417.5","2.6","0.4","93.8"
"Tyquan Thornton","KC","WR87","0.0","0.0","0.0","25.4","467.5","3.5","0.1","93.0"
"Jahan Dotson","ATL","WR88","0.0","0.0","0.0","35.2","443.3","2.3","0.3","92.5"
"Colby Parkinson","LAR","TE35","0.0","0.0","0.0","33.3","342.5","4.0","0.6","90.5"
"Michael Mayer","LV","TE36","0.0","0.0","0.0","40.0","376.3","2.1","0.1","90.0"
"Tre' Harris","LAC","WR89","0.0","0.0","0.0","34.5","410.5","2.5","0.4","89.8"
"MarShawn Lloyd","GB","RB57","93.8","401.5","3.4","16.0","115.3","0.4","0.4","89.6"
"Ryan Flournoy","DAL","WR90","2.2","12.5","0.1","33.8","383.1","2.7","0.4","89.2"
"Kaelon Black","SF","RB58","113.6","452.7","3.6","10.6","94.9","0.7","1.2","88.6"
"Brian Robinson Jr.","ATL","RB59","120.2","517.1","3.9","7.3","46.7","0.1","0.7","86.1"
"Isaac TeSlaa","DET","WR91","0.0","0.0","0.0","25.4","352.4","4.1","0.1","85.1"
"Christian Kirk","SF","WR92","0.0","0.0","0.0","32.4","381.1","2.4","0.0","84.9"
