"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Jimmy Horn Jr.","CAR","6.7","75.6","0.4","6.2","36.7","0.2","0.1","21.1"
"Jalen Royals","KC","6.8","78.3","0.6","0.0","0.0","0.0","0.1","18.4"
"KeAndre Lambert-Smith","LAC","6.4","80.6","0.6","0.0","0.0","0.0","0.1","17.8"
"Nick Westbrook-Ikhine","IND","6.1","76.6","0.6","0.0","0.0","0.0","0.1","17.2"
"Mason Tipton","NO","6.8","80.5","0.3","0.0","0.0","0.0","0.1","16.7"
"Dont'e Thornton Jr.","LV","6.0","83.0","0.3","0.0","0.0","0.0","0.1","16.0"
"Greg Dortch","DET","4.1","39.7","0.3","4.6","24.0","0.4","0.1","14.1"
"Barion Brown","NO","4.6","57.3","0.3","0.0","0.0","0.0","0.1","11.8"
"Bo Melton","GB","2.9","37.4","0.3","4.5","25.9","0.1","0.1","11.5"
"Tyrell Shavers","BUF","4.0","52.1","0.3","0.0","0.0","0.0","0.0","10.9"
"Derius Davis","LAC","3.5","38.1","0.3","2.1","11.0","0.1","0.1","10.3"
"Xavier Smith","LAR","3.6","44.4","0.3","0.0","0.0","0.0","0.0","9.9"
"Mitch Tinsley","CIN","3.3","41.8","0.4","0.0","0.0","0.0","0.0","9.7"
"CJ Daniels","LAR","3.4","42.8","0.3","0.0","0.0","0.0","0.0","9.6"
"Efton Chism III","NE","3.5","42.7","0.3","0.0","0.0","0.0","0.0","9.5"
"Malachi Corley","CLE","1.7","16.8","0.1","6.4","44.0","0.2","0.1","9.2"
"Tai Felton","MIN","3.7","37.1","0.2","0.0","0.0","0.0","0.0","8.8"
"Justin Watson","HOU","3.1","41.3","0.2","0.0","0.0","0.0","0.0","8.5"
"Darius Cooper","PHI","3.3","37.7","0.3","0.0","0.0","0.0","0.0","8.5"
"Jonathan Mingo","DAL","2.9","40.6","0.3","0.0","0.0","0.0","0.0","8.4"
"Reggie Virgil","ARI","3.4","39.3","0.1","0.0","0.0","0.0","0.0","8.1"
"Brycen Tremayne","CAR","3.3","36.1","0.2","0.0","0.0","0.0","0.0","7.8"
"Ben Skowronek","PIT","1.8","17.0","0.1","0.0","0.0","0.0","0.0","3.9"
"Arian Smith","NYJ","0.0","0.0","0.0","4.4","23.7","0.2","0.0","3.5"
"Kameron Johnson","TB","0.0","0.0","0.0","2.2","12.1","0.1","0.0","1.8"
"Jalen Reagor","MIA","0.7","9.0","0.0","0.0","0.0","0.0","0.0","1.8"
"Kaden Wetjen","PIT","0.0","0.0","0.0","2.2","11.7","0.1","0.0","1.6"
"Laquon Treadwell","IND","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"David Moore","CAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Braxton Berrios","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Devin Duvernay","ARI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Mason Kinsey","TEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ihmir Smith-Marsette","ARI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Michael Bandy","DEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Skyy Moore","GB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Britain Covey","PHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dareke Young","LV","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jacob Cowing","SF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Charlie Jones","CIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jalen Brooks","ARI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Nikko Remigio","KC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Anthony Gould","IND","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jeshaun Jones","MIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"LaJohntay Wester","BAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ke'Shawn Williams","CIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Myles Price","MIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Gage Larvadain","CLE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Josh Cameron","JAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
